,0.2,0.5,1.0,1.5,2.0
0.02209636607039124,1086.3075059827183,1144.417353539201,1199.513324762465,1245.5876636212006,1224.9526508816768
0.04419273214078248,1134.3771712361959,1095.247502479101,1187.0915273695157,1180.250490384106,1093.7932497867305
0.08838546428156496,1162.3509858177508,1150.479515310148,1102.0137093386104,1175.0777729129823,1206.3705123731313
0.13257819642234744,1112.4006936454853,1206.3033225292922,1165.1914484070794,1144.1473355375224,1178.1737909674603
0.17677092856312993,1174.6953016914615,1234.0097409654043,1130.0558197908351,1215.1728177824248,1126.9628542948892
0.2209636607039124,1250.4794011605718,1243.954763151336,1151.3304735188633,1145.00812360439,1071.716145495232
0.4419273214078248,1025.2604276821646,1130.0288333547082,1183.5078476702354,1124.0807867000951,1118.6212492400093
0.8838546428156496,1209.4246665051994,1163.9387467987426,1213.6498996876412,1284.8993210639528,1029.6926557040251
1.3257819642234743,1204.378420340362,1221.1281685898493,1145.0778559764285,1148.4827481756315,1147.0501110258829
1.7677092856312993,1168.1766589036895,1117.2992614587308,1066.6252893269036,1199.858129335336,1132.1169999667832
